driver,metric,lift,ci_low,ci_high,log_contribution,significant,share_of_movement
Traffic (visits),visits,-0.0011274176232709187,-0.01441302279596092,0.014505961204821222,-0.001128053636599579,False,0.009552598056603988
Conversion rate,cvr,0.08115897341524504,0.07585016700402265,0.08620182384472765,0.07803358928330746,True,0.6608050265983556
Length of stay,los,0.010105366506664323,0.008496366961770236,0.011640536471347806,0.010054648685798846,True,0.08514490302546819
Average daily rate,adr,-0.028459557661399973,-0.029888779097726876,-0.02719053554098966,-0.028872382272886,True,0.2444974723195721
