week,actual,counterfactual,pointwise_uplift,cumulative_actual,cumulative_counterfactual,cumulative_uplift,relative_uplift,counterfactual_low,counterfactual_high
2025-04-07,80103002.77162462,73303528.97897163,6799473.792652994,80103002.77162462,73303528.97897163,6799473.792652994,0.09275779607559603,70641652.5424278,75169541.68608217
2025-04-14,79307930.29721878,73407893.22756764,5900037.069651142,159410933.06884342,146711422.20653927,12699510.862304151,0.08037333330573555,69675968.89713371,76250217.90554373
2025-04-21,80758896.14986806,76001637.88960171,4757258.260266349,240169829.2187115,222713060.09614098,17456769.122570515,0.06259415444673228,73131240.75360553,78688534.84168662
2025-04-28,80461187.51289801,77965688.36631213,2495499.1465858817,320631016.7316095,300678748.4624531,19952268.269156396,0.03200765873907363,75887107.45765704,81115801.5075584
2025-05-05,75511987.15253083,72057977.09695387,3454010.055576965,396143003.8841404,372736725.559407,23406278.324733377,0.047933763820896626,70206400.12022804,75022790.17361413
